"ID";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"comentariodisc";"MATRICULA";"DISCIPLINA";"TURMA";"SITUACAO"
"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"201517019";"ISCA82";"90900";"aprovado"
"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";;"217220657";"MAT229";"10100";"aprovado"
"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";"5";;"201517019";"MAT045";"20200";"aprovado"
"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"201517019";"MAT224";"10100";"aprovado"
"5";"5";"5";"2";"2";"3";"3";"5";"4";"5";"5";"5";"5";;"217220657";"MATD43";"10000";"aprovado"
"6";"2";"3";"4";"4";"1";"4";"4";"4";"2";"3";"2";"4";;"201517019";"MATD41";"10000";"aprovado"
"7";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"Melhor professora !";"201510582";"MAT224";"10100";"aprovado"
"8";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"217220657";"MATD44";"10000";"aprovado"
"9";"2";"5";"3";"3";"5";"3";"5";"3";"5";"5";"5";"4";;"218123951";"MAT198";"20200";"reprovadoNota"
"10";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"217220657";"MATD45";"100";"aprovado"
"11";"3";"5";"1";"1";"2";"2";"5";"2";"2";"5";"4";"4";;"201510582";"MATD41";"10000";"aprovado"
"12";"5";"2";"5";"4";"5";"4";"4";"5";"5";"5";"5";"4";;"217220657";"MATD46";"100";"aprovado"
"13";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";;"201510582";"MAT174";"30300";"aprovado"
"14";"4";"5";"5";"2";"4";"3";"5";"3";"5";"5";"5";"5";;"218123951";"MATA02";"50000";"reprovadoNota"
"15";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";;"218123951";"MATA01";"70000";"aprovado"
"16";"5";"5";"5";"3";"5";"4";"5";"2";"5";"5";"5";"5";;"218123951";"MATB59";"10100";"aprovado"
"17";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";;"217115549";"MAT224";"10100";"aprovado"
"18";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";;"217115549";"MATE56";"10100";"aprovado"
"19";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";;"217115549";"MATA37";"40400";"aprovado"
