"ID";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"comentdisc";"MATRICULA";"DISCIPLINA";"TURMA";"SITUACAO"
"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"216115595";"MATD57";"10000";"reprovadoFalta"
"33";"5";"5";"5";"4";"4";"4";"4";"5";"5";"3";"5";"1";;"216115595";"MATD51";"10000";"aprovado"
"34";"4";"4";"4";"3";"4";"3";"4";"4";"4";"4";"5";"1";;"216115595";"MATD50";"10100";"aprovado"
"35";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"1";;"216115595";"MATD47";"10100";"aprovado"
"36";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"1";;"216115595";"MATD48";"10100";"aprovado"
"37";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";;"216115586";"MAT191";"20200";"aprovado"
"38";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"4";"5";;"216115586";"MAT186";"10000";"aprovado"
"39";"5";"4";"4";"4";"4";"3";"5";"5";"5";"5";"3";"3";;"216115586";"LETA09";"400";"aprovado"
"40";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"216115586";"MATD42";"10000";"aprovado"
"41";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"216115594";"MATA04";"50000";"aprovado"
"42";"4";"5";"5";"4";"4";"5";"5";"5";"5";"5";"4";"4";;"216115594";"MAT174";"50500";"aprovado"
"43";"5";"2";"4";"3";"3";"4";"2";"5";"5";"5";"4";"5";;"218115663";"MATA02";"30000";"aprovado"
"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Professor não demonstra domínio interpretativo-criativo da matéria e tudo acontece de maneira extremamente mecânica. Não dá para de fato  internalizar os assuntos";"218115663";"MATA07";"100000";"reprovadoFalta"
"45";"3";"5";"5";"4";"5";"4";"5";"3";"5";"5";"5";"5";"A professora ensinou bem mas ficava evidente que ela não gostava dessa disciplina em particular e isso transmitia um pouco para os alunos. Seria interessante se não fossemos tão motivados a ir até o quadro também já que algumas pessoas são mais tímidas que outras";"218115663";"MATD39";"10100";"aprovado"
"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Disciplina exige certo domínio de R. Seria interessante se alguma disciplina de programação fosse pré-requisito dela.";"218115663";"MATE56";"10100";"reprovadoFalta"
"47";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"201517019";"MATD42";"10000";"aprovado"
"48";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"201517019";"MAT186";"10000";"aprovado"
"49";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"2";;"201517019";"MAT174";"50500";"aprovado"
"50";"3";"3";"1";"3";"4";"2";"3";"4";"4";"3";"5";"5";;"201517019";"ADM001";"10000";"aprovado"
"51";"5";"5";"5";"4";"2";"4";"3";"5";"5";"5";"3";"5";;"216122574";"MATD48";"10100";"aprovado"
"52";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"5";;"216122574";"MATD47";"10100";"aprovado"
"53";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"5";;"216122574";"MATD50";"10100";"aprovado"
"54";"5";"5";"5";"3";"3";"5";"5";"5";"4";"5";"3";"5";"A forma de  analisar os dados nessa disciplina é bastante diferente de todas as formas de  análise vistas no decorrer do curso, o que gera dificuldades na compreensão dos conteúdos e aplicação das técnicas. Em minha opinião, essa disciplina deveria ser analisada de modo a proporcionar ao aluno mais domínio dos conteúdos para que o mesmo possa conseguir replicar, com segurança, as técnicas ensinadas.





";"216122574";"MATD51";"10000";"aprovado"
"55";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";;"216122574";"MATD57";"10000";"aprovado"
"56";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";;"216122574";"MAT191";"20200";"aprovado"
"57";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"O professor complica demais assuntos que poderiam ser mais facilmente abordados, como por exemplo, zero real de uma função. Além disso a cobrança é incoerente com a aula dada.";"214115690";"MAT174";"10100";"reprovadoFalta"
"58";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"O professor passa o assunto dessa matéria de maneira objetiva e tenta esclarecer ao máximo as dúvidas. Fornece bastante exemplo de aplicação, tanto em questões teóricas quanto em vida prática. O método avaliativo é justo.";"214115690";"MAT186";"10000";"aprovado"
"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"A matéria e a professora são muito boas, mas o horário de 7 horas é péssimo.";"214115690";"MATD57";"10000";"reprovadoFalta"
"60";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"A professora é maravilhosa. Faz de tudo para nivelar os alunos, e sanar todas as dificuldades. Demonstra preocupação e cuidado com os alunos que não conseguem acompanhar as aulas. Além disso, cria um ambiente muito favorável ao diálogo, tanto com ela, quanto com os colegas, de maneira que todos podem se ajudar. O conteúdo da disciplina é passado de maneira objetiva e com clareza. Acredito que todos os alunos saem das aulas muito inspirados e de bom humor.";"214115690";"MATD47";"10100";"aprovado"
"61";"3";"3";"2";"2";"2";"3";"5";"3";"3";"3";"5";"4";;"217125547";"MAT045";"40400";"aprovado"
"62";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";;"217125547";"MAT224";"10100";"aprovado"
"63";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"217125547";"MATA04";"50000";"aprovado"
"64";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"217125547";"MATD40";"100";"aprovado"
"65";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"216115603";"LETA09";"800";"aprovado"
"66";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"216115603";"MATA03";"60000";"aprovado"
"67";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"216115603";"MATD38";"10100";"aprovado"
"68";"5";"5";"5";"3";"4";"4";"5";"5";"5";"5";"5";"4";;"217115549";"MAT186";"10000";"aprovado"
"69";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"201510582";"MATD42";"10000";"aprovado"
"70";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"201510582";"MAT186";"10000";"aprovado"
"71";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";;"218119846";"MATD39";"10100";"aprovado"
"72";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";;"218119846";"MATD38";"10100";"aprovado"
"73";"2";"4";"5";"4";"5";"5";"5";"2";"5";"5";"5";"4";;"218119846";"MATA07";"20000";"aprovado"
"74";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";;"218119846";"MATA03";"20000";"aprovado"
"75";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"218119846";"MAT223";"10100";"aprovado"
"76";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"218119846";"MATE56";"10100";"aprovado"
"77";"5";"5";"4";"5";"4";"5";"5";"5";"5";"4";"4";"4";;"218115650";"MATD38";"10100";"aprovado"
"78";"3";"4";"4";"5";"3";"4";"5";"4";"4";"5";"4";"5";;"218115650";"MATD39";"10100";"aprovado"
"79";"5";"4";"5";"3";"4";"3";"5";"3";"5";"4";"5";"2";;"218115650";"MATA02";"30000";"reprovadoNota"
"80";"5";"5";"5";"4";"5";"4";"5";"5";"5";"5";"5";"4";;"217115568";"MATD40";"100";"aprovado"
"81";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";;"217115568";"MAT174";"50500";"aprovado"
"82";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"217115568";"MAT224";"10100";"aprovado"
"83";"5";"2";"3";"4";"2";"3";"5";"2";"5";"3";"3";"5";;"217115549";"LETA09";"400";"aprovado"
"84";"5";"5";"5";"4";"5";"4";"5";"4";"5";"1";"2";"3";;"217115549";"MAT174";"50500";"reprovadoNota"
"85";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"217115549";"MATD42";"10000";"aprovado"
"86";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"217115549";"MATD40";"100";"aprovado"
"87";"4";"5";"4";"3";"4";"4";"5";"4";"4";"3";"5";"2";;"216115575";"MATA37";"20200";"reprovadoNota"
"88";"5";"5";"5";"3";"4";"4";"5";"5";"5";"4";"5";"2";;"216115575";"MATA03";"50000";"reprovadoNota"
"89";"4";"2";"3";"4";"4";"3";"4";"4";"5";"4";"5";"2";;"216115575";"MATA07";"100000";"aprovado"
